old_package_id,old_package_name,old_package_type,old_price,customer_references,new_package_id,new_package_name,new_package_type,new_price,match_score,confidence
298,VK MEGA HD PACK + STAR SPORTS SELECT HD2,MSO_PACKAGE,415.00,1,789,STAR SPORTS SELECT HD2,ALACARTE,20.00,0.579,REVIEW
299,STAR SPORTS 2 TAMIL HD,MSO_PACKAGE,0.00,1,779,STAR SPORTS 2 TAMIL HD,ALACARTE,25.00,1.000,EXACT
300,GEMINI TV,MSO_PACKAGE,20.00,1,659,GEMINI TV,ALACARTE,25.00,1.000,EXACT
301,SUN TV HD,MSO_PACKAGE,25.00,1,801,SUN TV HD,ALACARTE,25.00,1.000,EXACT
302,VK ONE + 	Disney Kids Pack,MSO_PACKAGE,305.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.696,REVIEW
303,BASIC PACK + SUN TV,MSO_PACKAGE,195.00,1,800,SUN TV,ALACARTE,25.00,0.500,REVIEW
304,K Telugu Tamil Prime HD,MSO_PACKAGE,450.00,1,573,K Telugu Tamil Prime HD,ADDON,460.00,1.000,EXACT
305,VK TAMIL +Disney Kids Pack,MSO_PACKAGE,325.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.640,REVIEW
306,Zee Kannada 19.00		COLORS KANNADA 25.00		Colors Kannada Cinema 7.00,MSO_PACKAGE,65.00,1,619,Colors Kannada Cinema,ALACARTE,10.00,0.375,REVIEW
307,ASIANET (199) + FLOWER Tv,MSO_PACKAGE,45.00,1,593,ASIANET,ALACARTE,25.00,0.333,REVIEW
308,MEGHA HD,MSO_PACKAGE,390.00,1,583,& PICTURES HD,ALACARTE,25.00,0.333,REVIEW
309,TAMIL WITH TELUGU,MSO_PACKAGE,390.00,1,532,Sun Tamil Telugu,BROADCAST,94.25,0.500,REVIEW
310,cUSTOM Pack,MSO_PACKAGE,580.00,1,488,Disney Kids Pack,BROADCAST,22.10,0.250,REVIEW
311,VK TAMIL+ disney kids pack,MSO_PACKAGE,325.00,2,488,Disney Kids Pack,BROADCAST,22.10,0.640,REVIEW
312,BASIC + Sun Tamil Basic.,MSO_PACKAGE,230.00,1,526,SUN TAMIL BASIC,BROADCAST,70.20,1.000,EXACT
313,K TAMIL ONE + ZEE TELUGU HD 25 + ZEE CINEMALU 20  + SUN TELUGU BASIC 45  + Disney Kids Pack 20,MSO_PACKAGE,420.00,1,527,SUN TAMIL BASIC HD,BROADCAST,100.10,0.267,REVIEW
314,VK MEGA HD,MSO_PACKAGE,390.00,3,579,VK MEGA HD PACK,ADDON,400.00,0.750,REVIEW
315,K Malayalam Tamil Prime SD + ETV BAL BHARAT,MSO_PACKAGE,400.00,1,572,K Malayalam Tamil Prime SD,ADDON,360.00,0.634,REVIEW
316,BASIC + SUN TAMIL BASIC,MSO_PACKAGE,230.00,1,526,SUN TAMIL BASIC,BROADCAST,70.20,1.000,EXACT
317,ASIANET,MSO_PACKAGE,25.00,1,593,ASIANET,ALACARTE,25.00,1.000,EXACT
318,VK TAMIL + DISNEYPACK,MSO_PACKAGE,325.00,1,581,VK TAMIL,ADDON,300.00,0.667,REVIEW
